cand_id,cand_name,spe_id,spe_nam,ele_type,can_office_state,can_office_dis,can_office,cand_pty_aff,exp_amo,exp_date,agg_amo,sup_opp,pur,pay,file_num,amndt_ind,tran_id,image_num,receipt_dat,fec_election_yr,prev_file_num,dissem_dt
"","McClellan, Jennifer","C90016023","32BJ UNITED AMERICAN DREAM FUND","S","VA","04","H","","17375","16-FEB-23","0","S","Mailer design production and distribution","Flores Consulting LLC","1689709","N","F57.000001","202302179578664997","17-FEB-23","2024","",""
"","Pilip, Mazi","C90016023","32BJ UNITED AMERICAN DREAM FUND","S","NY","03","H","","15636.27","02-FEB-24","27154.27","O","Mailer design production and distribution","Red Horse Strategies","1754176","N","F57.000001","202402029619672168","02-FEB-24","2024","",""
"","Pilip, Mazi","C90016023","32BJ UNITED AMERICAN DREAM FUND","S","NY","03","H","","11518.08","06-FEB-24","38672.35","O","Mailer design production and distribution","Red Horse Strategies","1754708","N","F57.000001","202402079619685964","07-FEB-24","2024","",""
"","Pilip, Mazi","C90016023","32BJ UNITED AMERICAN DREAM FUND","S","NY","03","H","","11518","30-JAN-24","11518","O","Mailer design production and distribution","Red Horse Strategies","1751680","N","F57.000001","202401319607846860","31-JAN-24","2024","",""
"","Suozzi, Tom","C90016023","32BJ UNITED AMERICAN DREAM FUND","S","NY","03","H","","15636.28","02-FEB-24","15636.28","S","Mailer design production and distribution","Red Horse Strategies","1754176","N","F57.000002","202402029619672168","02-FEB-24","2024","",""
"H4CA47085","MIN, DAVE","C00589507","AAPI Victory Fund","P","CA","47","H","DEMOCRATIC PARTY","10000","26-FEB-24","75000","S","Digital Advertising","Pacific Campaign House","1760228","N","501150830","202402279622287753","27-FEB-24","2024","","26-FEB-24"
"H4CA47085","MIN, DAVE","C00589507","AAPI Victory Fund","P","CA","47","H","DEMOCRATIC PARTY","65000","07-FEB-24","65000","S","Digital Advertising","Pacific Campaign House","1756009","N","501147324","202402159619777672","15-FEB-24","2024","","14-FEB-24"
"H4NY03283","PILIP, MAZI","C00589507","AAPI Victory Fund","O","NY","03","H","REPUBLICAN PARTY","2562.5","","35875","O","Print Advertising","Urdu News","1758823","A1","501147120","202402219622161367","21-FEB-24","2024","1755872","09-FEB-24"
"H4NY03283","PILIP, MAZI","C00589507","AAPI Victory Fund","O","NY","03","H","REPUBLICAN PARTY","32000","","35875","O","Estimated Direct Mail Advertising, Robocalls & Text Messages","Trip Yang Strategies LLC","1758823","A1","501149812","202402219622161366","21-FEB-24","2024","1755872","09-FEB-24"
"H4NY03283","PILIP, MAZI","C00589507","AAPI Victory Fund","O","NY","03","H","REPUBLICAN PARTY","2562.5","","3875","O","Print Advertising","Urdu News","1755872","N","501147120","202402149619774293","14-FEB-24","2024","","09-FEB-24"
"H4NY03283","PILIP, MAZI","C00589507","AAPI Victory Fund","O","NY","03","H","REPUBLICAN PARTY","1312.5","","3875","O","Digital Advertising","Desi Talk News","1755872","N","501147119","202402149619774293","14-FEB-24","2024","","09-FEB-24"
"H4NY03283","PILIP, MAZI","C00589507","AAPI Victory Fund","O","NY","03","H","REPUBLICAN PARTY","1312.5","","35875","O","Digital Advertising","Desi Talk News","1758823","A1","501147119","202402219622161366","21-FEB-24","2024","1755872","09-FEB-24"
"","BIDEN JR, JOSEPH","C90011172","AFSCME WORKING FAMILIES FUND","P","PA","00","P","","848.75","17-JUN-23","10107.25","S","MERCHANDISE T-SHIRTS","AFSCME INTERNATIONAL","1707745","N","F57.4764","202306179582175098","17-JUN-23","2024","",""
"","BIDEN JR, JOSEPH","C90011172","AFSCME WORKING FAMILIES FUND","P","PA","00","P","","1697.5","17-JUN-23","10956","S","MERCHANDISE T-SHIRTS","AFSCME INTERNATIONAL","1722167","A1","F57.4773","202308169596574080","16-AUG-23","2024","1707745",""
